row, success, cause
https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggcute.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor-alolan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/cubone.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak-alolan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonlee.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonchan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/lickitung.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/koffing.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/rhyhorn.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/rhydon.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/chansey.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/tangela.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan-mega.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/horsea.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/seadra.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/goldeen.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/seaking.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/staryu.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/starmie.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/scyther.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/jynx.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/electabuzz.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/magmar.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir-mega.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-combat.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-blaze.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-aqua.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/magikarp.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados-mega.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/lapras.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/ditto.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee-lets-go.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/vaporeon.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/jolteon.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/flareon.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/omanyte.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/omastar.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/kabuto.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/kabutops.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl-mega.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/snorlax.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos-galarian.png, True, None
https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres.png, True, None
